customer_Id,DOB,Gender,city_code
268408,01-02-1970,M,4
269696,01-07-1970,F,8
268159,01-08-1970,F,8
270181,01-10-1970,F,2
268073,01-11-1970,M,1
273216,01-15-1970,F,5
266929,01-15-1970,M,8
275152,01-16-1970,M,4
275034,01-18-1970,F,4
273966,01-21-1970,M,8
270829,01-22-1970,F,8
266997,01-23-1970,M,9
272455,01-25-1970,M,7
274593,01-26-1970,M,10
273391,01-29-1970,F,2
267657,01-29-1970,F,7
271344,01-29-1970,F,5
268275,02-01-1970,F,7
274630,02-01-1970,M,4
273541,02-01-1970,M,4
270324,02-01-1970,F,1
273613,02-06-1970,M,1
271608,02-09-1970,F,4
269008,02-13-1970,F,6
267199,02-14-1970,,2
267916,02-17-1970,F,8
267609,02-18-1970,M,2
270602,02-18-1970,M,5
272883,02-19-1970,M,5
272359,02-19-1970,M,4
272603,02-19-1970,F,9
272028,02-20-1970,F,1
274717,02-21-1970,M,7
273316,02-21-1970,M,2
271262,02-21-1970,M,2
267166,02-22-1970,F,4
270827,03-04-1970,F,10
273423,03-04-1970,F,4
271692,03-07-1970,M,5
274592,03-08-1970,M,5
271777,03-08-1970,M,8
266895,03-12-1970,M,4
274360,03-14-1970,M,5
274602,03-15-1970,F,3
266799,03-16-1970,F,5
272821,03-17-1970,F,3
267379,03-21-1970,F,2
273016,03-22-1970,M,3
273106,03-23-1970,F,2
271935,03-26-1970,M,5
273109,03-27-1970,F,5
270986,03-27-1970,M,10
266969,03-28-1970,M,2
273871,03-29-1970,M,7
273811,03-29-1970,M,8
271312,04-01-1970,F,5
274834,04-02-1970,M,4
271991,04-02-1970,M,5
269765,04-04-1970,F,9
272071,04-06-1970,F,6
272645,04-14-1970,F,2
270780,04-18-1970,F,3
272736,04-19-1970,F,1
272627,04-19-1970,F,3
272795,04-22-1970,M,1
270450,04-24-1970,F,3
266862,04-24-1970,F,5
274535,04-26-1970,F,4
269640,04-29-1970,M,7
268290,04-29-1970,M,7
275250,05-02-1970,F,1
272555,05-03-1970,M,1
268732,05-06-1970,M,2
271478,05-06-1970,F,1
267529,05-09-1970,M,4
271066,05-10-1970,M,8
267819,05-10-1970,F,9
269271,05-12-1970,F,5
273150,05-14-1970,F,10
267386,05-15-1970,M,7
274350,05-16-1970,F,3
273645,05-22-1970,F,4
270911,05-22-1970,M,2
268424,05-23-1970,F,8
271045,05-23-1970,F,7
268627,06-01-1970,M,9
270430,06-01-1970,M,7
271626,06-02-1970,,6
272301,06-03-1970,F,8
269531,06-05-1970,M,2
274849,06-09-1970,M,4
271031,06-09-1970,F,2
272018,06-09-1970,F,6
272186,06-09-1970,M,10
270047,06-10-1970,M,1
274128,06-10-1970,M,10
268313,06-11-1970,F,8
270933,06-15-1970,M,8
271072,06-16-1970,M,6
271465,06-17-1970,F,9
274770,06-17-1970,F,2
270676,06-19-1970,M,5
273529,06-19-1970,F,1
273162,06-19-1970,M,8
268533,06-23-1970,F,6
275246,06-25-1970,M,3
267066,06-25-1970,F,10
269345,06-26-1970,F,10
275116,06-29-1970,M,5
273840,07-01-1970,M,3
268792,07-04-1970,M,4
274892,07-05-1970,F,8
273708,07-09-1970,F,7
272495,07-10-1970,M,8
272926,07-11-1970,F,4
268447,07-14-1970,M,
273442,07-16-1970,M,4
267081,07-17-1970,F,3
267042,07-23-1970,M,8
273151,07-24-1970,F,4
274169,07-24-1970,F,1
270130,07-26-1970,M,9
274546,07-26-1970,M,3
273575,07-27-1970,M,1
267280,08-02-1970,M,5
267304,08-03-1970,M,4
274445,08-06-1970,M,8
270678,08-06-1970,F,4
270328,08-07-1970,F,4
269449,08-09-1970,M,6
275014,08-12-1970,M,4
269825,08-21-1970,M,4
271750,08-23-1970,F,6
267826,08-24-1970,F,7
272501,08-26-1970,F,1
273587,08-29-1970,F,1
272721,09-01-1970,M,8
275134,09-02-1970,F,8
267713,09-03-1970,M,1
274029,09-03-1970,F,1
272261,09-03-1970,F,9
274628,09-04-1970,M,5
273776,09-06-1970,F,2
274743,09-06-1970,M,4
270051,09-07-1970,M,8
274455,09-08-1970,F,10
272088,09-08-1970,M,5
273583,09-08-1970,M,5
267490,09-09-1970,F,4
268709,09-09-1970,F,
267536,09-10-1970,M,3
271286,09-10-1970,M,1
273517,09-11-1970,M,5
268365,09-12-1970,M,5
266959,09-13-1970,F,1
272408,09-13-1970,M,6
271177,09-14-1970,F,5
274180,09-14-1970,M,6
267613,09-15-1970,M,3
270748,09-17-1970,M,5
274682,09-19-1970,M,10
266822,09-20-1970,F,9
272017,09-22-1970,M,8
267424,09-22-1970,M,7
272402,09-23-1970,F,10
274194,09-24-1970,M,5
274232,09-26-1970,F,5
272777,09-29-1970,M,7
273372,09-29-1970,F,1
273398,10-01-1970,F,1
267707,10-02-1970,F,2
273170,10-03-1970,F,8
271924,10-03-1970,M,5
270446,10-05-1970,M,10
273353,10-07-1970,F,4
270331,10-08-1970,F,10
269676,10-09-1970,M,8
269919,10-11-1970,M,1
268312,10-12-1970,F,9
267959,10-12-1970,M,6
268998,10-12-1970,F,7
272784,10-14-1970,F,8
270619,10-16-1970,M,6
274865,10-18-1970,F,8
273705,10-20-1970,M,5
268772,10-20-1970,F,3
266972,10-21-1970,M,7
269235,10-22-1970,F,4
270938,10-23-1970,F,9
271959,10-26-1970,M,9
272168,10-26-1970,M,2
271587,10-27-1970,F,10
273929,10-28-1970,M,5
268697,10-29-1970,F,1
270567,11-01-1970,M,8
268635,11-01-1970,M,4
275166,11-05-1970,M,10
267603,11-06-1970,F,1
266954,11-06-1970,M,4
267396,11-13-1970,M,9
272922,11-14-1970,F,7
268481,11-15-1970,F,3
268084,11-18-1970,M,1
274493,11-19-1970,M,5
273222,11-19-1970,M,6
270316,11-19-1970,M,4
270945,11-23-1970,M,1
275123,11-23-1970,M,9
267589,11-24-1970,F,9
269243,11-25-1970,F,7
273122,11-28-1970,M,4
274486,11-29-1970,M,9
273556,12-01-1970,M,3
270352,12-04-1970,M,2
275200,12-04-1970,M,8
272212,12-10-1970,M,4
273169,12-12-1970,F,3
273664,12-13-1970,M,6
267851,12-13-1970,M,3
268636,12-15-1970,M,4
269458,12-16-1970,F,10
269867,12-17-1970,F,1
270218,12-18-1970,F,8
272117,12-19-1970,M,10
268282,12-22-1970,F,1
268578,12-24-1970,M,7
270768,12-27-1970,M,10
269715,01-02-1971,M,10
267512,01-07-1971,F,7
267618,01-08-1971,M,2
267359,01-08-1971,M,1
272126,01-10-1971,M,9
274990,01-10-1971,M,9
269471,01-10-1971,F,2
270080,01-11-1971,M,8
274669,01-11-1971,F,9
275111,01-12-1971,M,8
269574,01-14-1971,F,5
273602,01-15-1971,M,2
267558,01-17-1971,M,6
271776,01-22-1971,F,10
272992,01-22-1971,F,1
274215,01-23-1971,M,8
272536,01-28-1971,M,2
274101,02-01-1971,M,1
270120,02-01-1971,F,9
274913,02-02-1971,M,8
271323,02-02-1971,M,1
268744,02-06-1971,F,2
271900,02-08-1971,M,9
272594,02-09-1971,M,10
272418,02-13-1971,F,6
270738,02-14-1971,F,1
272874,02-15-1971,F,1
270427,02-15-1971,F,5
271975,02-16-1971,M,2
269139,02-20-1971,M,3
268813,02-21-1971,M,7
269091,02-23-1971,F,10
268583,02-23-1971,F,8
270534,02-24-1971,M,7
274978,02-26-1971,M,9
270393,02-26-1971,F,1
266794,02-28-1971,F,9
266886,02-28-1971,M,1
272497,03-01-1971,M,10
273545,03-01-1971,M,3
270252,03-02-1971,M,5
267101,03-02-1971,M,8
270631,03-05-1971,F,8
267818,03-07-1971,M,2
267742,03-08-1971,M,5
275023,03-09-1971,M,6
271019,03-09-1971,F,5
271718,03-10-1971,F,6
271905,03-11-1971,F,2
267976,03-11-1971,F,10
270921,03-14-1971,F,7
270770,03-15-1971,M,5
275172,03-16-1971,F,1
270711,03-17-1971,F,7
268581,03-17-1971,F,9
274073,03-18-1971,M,10
272009,03-19-1971,M,8
267346,03-19-1971,M,7
274839,03-19-1971,F,7
267269,03-21-1971,F,4
274441,03-22-1971,M,1
272940,03-25-1971,F,1
274807,03-28-1971,F,7
267240,03-29-1971,M,6
268670,04-01-1971,M,9
267350,04-01-1971,F,9
269218,04-06-1971,M,8
270002,04-08-1971,M,7
271651,04-10-1971,F,1
269658,04-11-1971,F,6
268500,04-13-1971,F,7
267228,04-14-1971,F,6
268657,04-18-1971,F,8
267032,04-21-1971,F,4
268342,04-21-1971,M,7
271489,04-21-1971,M,9
267078,04-22-1971,M,5
267463,04-22-1971,F,4
274960,04-24-1971,F,9
273358,04-25-1971,F,8
267098,04-27-1971,F,9
273781,04-28-1971,F,3
272037,04-29-1971,F,7
271485,05-01-1971,M,10
268909,05-01-1971,M,2
271684,05-04-1971,M,4
272672,05-05-1971,F,10
274551,05-06-1971,M,3
273807,05-08-1971,M,9
274818,05-08-1971,M,4
274092,05-10-1971,M,9
274008,05-11-1971,M,6
269935,05-11-1971,F,4
274549,05-13-1971,M,1
269245,05-20-1971,M,4
268263,05-20-1971,F,1
270478,05-20-1971,F,7
272729,05-21-1971,F,2
272839,05-22-1971,F,8
270150,05-22-1971,F,8
273963,05-24-1971,F,7
269844,05-25-1971,F,9
275174,05-27-1971,F,10
266931,05-29-1971,F,4
273146,06-04-1971,M,5
267995,06-04-1971,M,4
